Zip,Name,Location,State + Zip,Map Url,Url,Email
27601,Carolina Velocity Futbol Club,5600 Hillsborough Steet Raleigh , NC 27606,https://www.ncsoccer.org/clubs/carolina-velocity-futbol-club/?Near=27601&Radius=250,https://www.carolinavelocity.com/,andy@carolinavelocity.com
27601,NCFC Youth Soccer,5017 Memory Road Raleigh, NC 27609,https://www.ncsoccer.org/clubs/ncfc-youth-soccer/?Near=27601&Radius=250,http://www.ncfcyouth.com/,gary.buete@ncfcyouth.com
27601,Elite Youth Soccer Club Inc, Garner, NC 27529,https://www.ncsoccer.org/clubs/elite-youth-soccer-club-inc/?Near=27601&Radius=250,https://www.eliteysc.org/,info@eliteysc.org
27601,Triangle Y Youth Soccer,8921 Holly Springs Road Apex, NC 27539,https://www.ncsoccer.org/clubs/triangle-y-youth-soccer/?Near=27601&Radius=250,https://triangleysoccerclub.godaddysites.com/,coachray.crush@gmail.com
27601,Liberty Soccer Academy,951 Aviation Pkwy Morrisville, NC 27560,https://www.ncsoccer.org/clubs/liberty-soccer-academy/?Near=27601&Radius=250,https://www.lsasandhills.org/home,info@lsasandhills.org
27601,Neuse River Futbol Alliance,439 Athletic Club Blvd Clayton, NC 27527,https://www.ncsoccer.org/clubs/neuse-river-futbol-alliance/?Near=27601&Radius=250,http://www.neuseriverfa.org/,executivedirector@neuseriverfa.org
27601,Wake Futbol Club,1151 N. Main Street Holly Springs, NC 27540,https://www.ncsoccer.org/clubs/wake-futbol-club-inc/?Near=27601&Radius=250,http://www.wakefc.com/,davidallredsoccer@gmail.com
27601,Greater Cleveland Athletic Association,8994 Cleveland Road Clayton, NC 27520,https://www.ncsoccer.org/clubs/greater-cleveland-athletic-association/?Near=27601&Radius=250,http://www.gcaasports.org/,m_knott@yahoo.com
27601,Trinity Soccer Academy,6112 Rex Rd Holly Springs, NC 27540,https://www.ncsoccer.org/clubs/trinity-soccer-academy/?Near=27601&Radius=250,https://www.trinitysa.com/,soconnor@trinitysa.com
27601,Franklin Wake Soccer Club,2179 Hicks Rd Youngsville, NC 27596,https://www.ncsoccer.org/clubs/franklin-wake-soccer-club/?Near=27601&Radius=250,https://www.fwsoccerclub.com/,president@fwsoccerclub.com
27601,Next Big Thing Soccer Academy, Franklinton, NC 27525,https://www.ncsoccer.org/clubs/next-big-thing-soccer-academy/?Near=27601&Radius=250,https://nbtsoccer.com/,nbtsoccer@gmail.com
27601,Triangle United Soccer Association,PO Box 2321 Chapel Hill, NC 27514,https://www.ncsoccer.org/clubs/triangle-united-soccer-association/?Near=27601&Radius=250,http://www.triangleunited.org/,mstrand@triangleunited.org
27601,Chatham Soccer League,PO Box 875 Pittsboro, NC 27312,https://www.ncsoccer.org/clubs/chatham-soccer-league/?Near=27601&Radius=250,http://www.chathamsoccerleague.org/,director@chathamsoccerleague.org
27601,Sanford Area Soccer League,PO Box 1212 Sanford, NC 27331,https://www.ncsoccer.org/clubs/sanford-area-soccer-league/?Near=27601&Radius=250,http://www.sasl.net/,maryjo.thompson2013@gmail.com
27601,Wilson Youth Soccer Association,PO Box 3112 Wilson, NC 27895,https://www.ncsoccer.org/clubs/wilson-youth-soccer-association/?Near=27601&Radius=250,http://www.wilsonyouthsoccer.com/,rfrazier@wilsonnc.org
27601,Mebane Youth Soccer Association,PO Box 361 Mebane, NC 27302,https://www.ncsoccer.org/clubs/mebane-youth-soccer-association/?Near=27601&Radius=250,http://www.mebanesoccer.us/,taylor.saxe@gmail.com
27601,Wayne County United Soccer Club,PO Box 11282 Goldsboro, NC 27530,https://www.ncsoccer.org/clubs/wayne-county-united-soccer-club/?Near=27601&Radius=250,http://www.waynecountyunitedsoccer.com/,bdgery@gmail.com
27601,Fayetteville Soccer Club,445 Treetop Drive Fayetteville, NC 28311,https://www.ncsoccer.org/clubs/fayetteville-soccer-club/?Near=27601&Radius=250,http://www.fscforce.com/,chip.stapleton@gmail.com
27601,Goldsboro Football Club,501 S Oak Forest Rd Goldsboro, NC 27534,https://www.ncsoccer.org/clubs/goldsboro-football-club/?Near=27601&Radius=250,https://www.strikeeaglesfc.net/,strikeeaglesfc@gmail.com
27601,Tar River Youth Soccer Association,600 Independence Drive Rocky Mount, NC 27804,https://www.ncsoccer.org/clubs/tar-river-youth-soccer-association/?Near=27601&Radius=250,http://www.tarriversoccer.org/,william.inglefield@tarriversoccer.org
27601,Burlington Soccer Club,2966 South Church Street #311,,https://www.ncsoccer.org/clubs/burlington-soccer-club/?Near=27601&Radius=250,http://www.bscsoccer.net/,jgross9@icloud.com
27601,Sampson County Soccer Club,135 Royal Lane Clinton, NC 28328,https://www.ncsoccer.org/clubs/sampson-county-soccer-club/?Near=27601&Radius=250,http://www.sampsoncountysoccer.com/,bradspell13@gmail.com
27601,AC Sandhills,PO Box 1425 Aberdeen, NC 28315,https://www.ncsoccer.org/clubs/ac-sandhills/?Near=27601&Radius=250,http://www.acsandhills.com/,julio.penalillo@acsandhills.com
27601,Asheboro City Futbol Club, Asheboro, NC 27303,https://www.ncsoccer.org/clubs/asheboro-city-futbol-club/?Near=27601&Radius=250,http://www.ccscsoccer.com/,mikemowers@live.com
27601,United Rockingham Youth Soccer Association,1904 South Park Drive Reidsville, NC 27320,https://www.ncsoccer.org/clubs/united-rockingham-youth-soccer-association/?Near=27601&Radius=250,http://www.urysa.org/,gdouce62@gmail.com
27601,Roanoke Valley Youth Soccer Association, Roanoke Rapids, NC 27870,https://www.ncsoccer.org/clubs/roanoke-valley-youth-soccer-association/?Near=27601&Radius=250,http://www.rvysa.org/,ted.garner@westfraser.com
27601,Pitt-Greenville Soccer Association,PO Box 3915 Greenville, NC 27836,https://www.ncsoccer.org/clubs/pitt-greenville-soccer-association/?Near=27601&Radius=250,http://www.pgsasoccer.com/,jtdixon020575@gmail.com
27601,Jamestown Youth League,PO Box 1075 Jamestown, NC 27282,https://www.ncsoccer.org/clubs/jamestown-youth-league/?Near=27601&Radius=250,http://www.jylsports.com/,director@jylsports.com
27601,East Duplin Soccer Club,108 East Park Drive Beaulaville, NC 28518,https://www.ncsoccer.org/clubs/east-duplin-soccer-club/?Near=27601&Radius=250,http://www.edsc-nc.com/,bartleywooten@gmail.com
27601,Eastern Carolina Soccer Association,141 East Park Drive Beaulaville, NC 28518,https://www.ncsoccer.org/clubs/eastern-carolina-soccer-association/?Near=27601&Radius=250,http://www.ecsanc.com/,bartleywooten@gmail.com
27601,Piedmont Soccer Alliance,550 Hedgecock Road High Point, NC 27265,https://www.ncsoccer.org/clubs/piedmont-soccer-alliance/?Near=27601&Radius=250,http://www.psastars.com/,gweigel@psastars.com
