,71201,,,Minden Parks & Rec,,,1001 Recreation Dr. Minden, LA 71055,,,https://www.playlouisianasoccer.org/clubs/minden-parks--rec/?Near=71201&Radius=250,
,71201,,,Miss-Lou SC,,,2052 Charles St. Vidalia, LA 71373,,,https://www.playlouisianasoccer.org/clubs/miss-lou-sc/?Near=71201&Radius=250,
,71201,,,Natchitoches SA,,,P.696O. Box 2 Natchitoches, LA 71457,,,https://www.playlouisianasoccer.org/clubs/natchitoches-sa/?Near=71201&Radius=250,
,71201,,,Crossroads Soccer Association,,,P.O. Box 13676 Alexandria, LA 71315,,,https://www.playlouisianasoccer.org/clubs/crossroads-soccer-association/?Near=71201&Radius=250,
,71201,,,CABOSA Shreveport United,,,3837 Gilbert Drive Shreveport, LA 71104,,,https://www.playlouisianasoccer.org/clubs/cabosa-shreveport-united/?Near=71201&Radius=250,
,71201,,,Bayhills Soccer Club,,,5197 hwy 115 Bunkie, LA 71322,,,https://www.playlouisianasoccer.org/clubs/bayhills-soccer-club/?Near=71201&Radius=250,
,71201,,,Beauregard United Soccer Association,,,P.O. Box 1712 DeRidder, LA 70634,,,https://www.playlouisianasoccer.org/clubs/beauregard-united-soccer-association/?Near=71201&Radius=250,
,71201,,,Acadiana Soccer Association,,,P.O. Box 124 Opelousas, LA 70571,,,https://www.playlouisianasoccer.org/clubs/acadiana-soccer-association/?Near=71201&Radius=250,
,71201,,,North Baton Rouge YSA,,,241 Lakecrest Ave. Baton Rouge, LA 70807,,,https://www.playlouisianasoccer.org/clubs/north-baton-rouge-ysa/?Near=71201&Radius=250,
,71201,,,Franklinton Soccer Club,,,39497 Hwy 1055 Mt. Hermon, LA 70450,,,https://www.playlouisianasoccer.org/clubs/franklinton-soccer-club/?Near=71201&Radius=250,
,71201,,,Baton Rouge Soccer Club,,,142 Lobdell Ave. Baton Rouge, LA 70806,,,https://www.playlouisianasoccer.org/clubs/baton-rouge-soccer-club/?Near=71201&Radius=250,
,71201,,,Cajun Rush,,,200 Sonny Roy Lane Lafayette, LA 70507,,,https://www.playlouisianasoccer.org/clubs/cajun-rush/?Near=71201&Radius=250,
,71201,,,Sting Louisiana,,,5824 Vicksburg Dr. Baton Rouge, LA 70817,,,https://www.playlouisianasoccer.org/clubs/sting-louisiana/?Near=71201&Radius=250,
,71201,,,Central Tangi Soccer League,,,P.O. Box 1732 Independence, LA 70443,,,https://www.playlouisianasoccer.org/clubs/central-tangi-soccer-league/?Near=71201&Radius=250,
,71201,,,PARDS SC,,,P.O. Box 1281 Denham Springs, LA 70727,,,https://www.playlouisianasoccer.org/clubs/pards-sc/?Near=71201&Radius=250,
,71201,,,Dynamo Juniors,,,221 South Park Rd., C2 Lafayette, LA 70508,,,https://www.playlouisianasoccer.org/clubs/dynamo-juniors/?Near=71201&Radius=250,
,71201,,,Vermilion SC,,,1420 Stutes Rd. Rayne, LA 70578,,,https://www.playlouisianasoccer.org/clubs/vermilion-sc/?Near=71201&Radius=250,
,71201,,,Iowa Soccer Club,,,P.O. Box 64 Iowa, LA 70647,,,https://www.playlouisianasoccer.org/clubs/iowa-soccer-club/?Near=71201&Radius=250,
