,Great Lakes Division,AFC ANN ARBOR,https://www.afcannarbor.com/,
,Great Lakes Division,CLEVELAND FORCE SC,https://www.clevelandforcesc.com/,
,Great Lakes Division,DETROIT CITY FC,https://www.detcityfc.com/,
,Great Lakes Division,FLINT CITY AFC,https://www.flintcityafc.com/,
,Great Lakes Division,KALAMAZOO FC,https://www.kalamazoofc.com/,
,Great Lakes Division,MIDWEST UNITED FC,https://midwestunitedfc.com/,
,Valley Division,INDY ELEVEN,https://www.indyeleven.com/,
,Valley Division,KINGS HAMMER FC,https://www.kingshammerfc.com/,
,Valley Division,LEXINGTON SC,https://www.lexsporting.com/,
,Valley Division,RACING LOUISVILLE,https://www.racingloufc.com/,
,Valley Division,ST. CHARLES FC,https://www.clevelandforcesc.com/,
,Heartland Division,BAVARIAN UNITED SC,https://www.bavarianunited.com/,
,Heartland Division,CHICAGO CITY SC,https://www.chicagocitysoccerclub.com/,
,Heartland Division,CHICAGO DUTCH LIONS FC,https://chicagodlfc.com/,
,Heartland Division,GREEN BAY GLORY,https://greenbayglory.com/,
,Heartland Division,MINNESOTA AURORA FC,https://www.mnaurora.com/,
,Heartland Division,RKC THIRD COAST,https://www.uslwleague.com/news_article/show/1259177?referrer_id=6107046,
,Heartland Division,ROCHESTER FC,https://rochester-fc.com/,
,Mid Atlantic Division,CHRISTOS FC,https://www.christosfc.com/,
,Mid Atlantic Division,EAGLE FC,https://eagle-fc.com/,
,Mid Atlantic Division,MCLEAN SOCCER,https://mcleansoccer.org/,
,Mid Atlantic Division,NORTHERN VIRGINIA FC,https://novafc.org/,
,Mid Atlantic Division,PATUXENT FOOTBALL ATHLETICS,https://patuxentfa.com/,
,Mid Atlantic Division,VIRGINIA MARAUDERS FC,https://www.uslwleague.com/news_article/show/1255568,
,Metropolitan Division,AC CONNECTICUT,https://www.acconnecticut.com/,
,Metropolitan Division,CEDAR STARS,https://www.cedarstars.com/,
,Metropolitan Division,FA EURO NEW YORK,https://www.faeuro.com/usl-league-two,
,Metropolitan Division,LONG ISLAND ROUGH RIDERS,https://liroughriders.com/,
,Metropolitan Division,MANHATTAN SC,https://www.manhattansc.org/,
,Metropolitan Division,MORRIS ELITE SC,https://www.morriselitesoccer.com/,
,Metropolitan Division,PAISLEY ATHLETIC FC,https://paisleyathletic.com/,
,Metropolitan Division,WESTCHESTER FLAMES,https://westchesterflames.com/,
,South Atlantic Division,ASHEVILLE CITY SC,https://www.ashevillecitysc.com/,
,South Atlantic Division,CHARLOTTE INDEPENDENCE,https://www.charlotteindependence.com/,
,South Atlantic Division,FC CAROLINAS,https://www.fccarolinas.org/,
,South Atlantic Division,GREENVILLE LIBERTY SC,https://www.greenvilleliberty.com/,
,South Atlantic Division,NC COURAGE U23,https://www.nccourage.com/,
,South Atlantic Division,NORTH CAROLINA FUSION,https://www.ncfusion.org/,
,South Atlantic Division,WAKE FC,https://www.wakefc.com/,
,South Central Division,BIRMINGHAM LEGION WFC,https://www.bhmlegion.com/,
,South Central Division,CHATTANOOGA RED WOLVES SC,https://www.chattanoogaredwolves-sc.com/,
,South Central Division,NORTH ALABAMA SC,https://www.northalabamasc.org/,
,South Central Division,SOUTH CAROLINA UNITED FC,https://www.southcarolinaunitedfc.com/,
,South Central Division,SOUTH GEORGIA TORMENTA FC,https://www.tormentafc.com/,
,South Central Division,SOUTHERN SOCCER ACADEMY,https://www.ssaelite.com/,
,South Central Division,TENNESSEE SC,https://www.tscusl.com/,
,Southeast Division,FC MIAMI CITY,https://www.fcmiamicity.com/,
,Southeast Division,FLORIDA ELITE SOCCER ACADEMY,https://www.floridaelitesa.com/,
,Southeast Division,MIAMI AC,https://www.miamiac.org/,
,Southeast Division,PALM CITY AMERICANAS,https://www.uslwleague.com/news_article/show/1252433,
,Southeast Division,SWAN CITY SC,https://www.swancitysc.com/,
,Southeast Division,TAMPA BAY UNITED,https://tbusc.com/,
,Northwest Division,CAPITAL FC ATLETICA,https://www.cfcatletica.com/,
,Northwest Division,LANE UNITED FC,https://www.laneutd.com/,
,Northwest Division,OLY TOWN FC,https://olytownfc.com/,
,Northwest Division,PDX FC,https://www.pdxfc.com/,
,Northwest Division,UNITED PDX,http://unitedpdx.com/,
,NorCal Division,ACADEMICA SC,http://www.academicasc.com/,
,NorCal Division,CALIFORNIA STORM,https://www.calstormsoccer.com/,
,NorCal Division,MARIN FC,https://www.marinfc.org/,
,NorCal Division,OAKLAND SOUL,https://www.oaklandsoulsc.com/,
,NorCal Division,OLYMPIC CLUB,https://www.olyclub.com/,
,NorCal Division,PLEASANTON RAGE,https://pleasantonrage.org/,
,NorCal Division,SAN FRANCISCO GLENS SC,https://www.sfglens.com/,
,NorCal Division,STOCKTON CARGO SC,https://www.stocktonsc.com/,
