,,Alexandria Blizzard,http://na3hl.com/teams/team-detail.cfm?id=147,,Address:	Alexandria Blizzard 510 22nd Ave East #501 Alexandria  MN 56308,Phone:	(320) 763-7600,http://alexandriablizzard.com/,https://www.facebook.com/AlexandriaBlizzard,https://www.instagram.com/alexandria.blizzard/,http://www.twitter.com/AlexBlizzard,http://www.youtube.com/user/AlexBlizzardHockey,
,,Atlanta Capitals,http://na3hl.com/teams/team-detail.cfm?id=253,,Address:	Atlanta Capitals 5750 Roswell Rd. Sandy Springs  GA 30342,Phone:	404-364-9810,http://www.atlantacapitals.com/,https://www.facebook.com/atlcapsofficial/,https://www.instagram.com/atlcapsofficial/,http://www.twitter.com/atl_caps,
,,Austin Ice Bats,http://na3hl.com/teams/team-detail.cfm?id=623,,Address:	Austin Ice Bats 1717 Scottsdale Dr. Suite 100 Cedar Park  TX 78641,,https://www.austinicebatsna3.com/,https://www.facebook.com/austinicebatsna3/,https://www.instagram.com/austinicebatsna3/,http://www.twitter.com/austinicebatsn1,
,,Badlands Sabres,http://na3hl.com/teams/team-detail.cfm?id=626,,Address:	Badlands Sabres Rapid City  SD,,https://www.badlandssabres.com/,https://www.facebook.com/badlandssabreshockey/,https://www.instagram.com/badlandssabres/,http://www.twitter.com/BadlandsSabres,
,,Bozeman Icedogs,http://na3hl.com/teams/team-detail.cfm?id=188,,Address:	Bozeman Icedogs PO Box 418 Bozeman  MT 59771,,http://www.bozemanicedogs.com/,https://www.facebook.com/BozemanIcedogs,https://www.instagram.com/bozemanicedogs/,http://www.twitter.com/BozemanIcedogs,
,,Butte Irish,http://na3hl.com/teams/team-detail.cfm?id=845,,Address:	Butte Irish 200 LaSalle St. Butte  MT 59701,,https://butteirish.com/,https://www.facebook.com/butteirishna3hl,http://www.twitter.com/Butte_Irish,
,,Danbury Jr. Hat Tricks,http://na3hl.com/teams/team-detail.cfm?id=611,,Address:	Danbury Jr. Hat Tricks One Independence Way Danbury  CT 06810,Phone:	203-794-1704,http://www.hattricksna3.com/,https://www.facebook.com/NA3HLDanburyJrHatTricks/,http://www.twitter.com/DanburyNA3HL,
,,El Paso Rhinos,http://na3hl.com/teams/team-detail.cfm?id=523,,Address:	El Paso Rhinos 4100 E Paisano Bldg. B El Paso  TX 79905,Phone:	915-479-7825,https://www.elpasorhinosna3.com/,https://www.facebook.com/RhinosNA3HL,https://www.instagram.com/el_paso_rhinos/,http://www.twitter.com/Rhinos_Na3hl,http://www.youtube.com/EPRhinosHockey,
,,Gillette Wild,http://na3hl.com/teams/team-detail.cfm?id=189,,Address:	Gillette Wild P.O. Box 1068 Gillette  WY 82717-1068,Fax:	(307) 687-7866,http://www.gillettewildhockey.com/,https://www.facebook.com/pages/Gillette-Wild-Junior-Hockey/233565913350991?sk=wall,http://www.twitter.com/GilletteWild,http://www.youtube.com/channel/UCkP0etief1OOt0rxi1VxCQQ,
,,Granite City Lumberjacks,http://na3hl.com/teams/team-detail.cfm?id=115,,Address:	Granite City Lumberjacks P.O. Box 674 Sauk Rapids  MN 56379,Phone:	320-497-0842,https://www.lumberjackshockey.com/,https://www.facebook.com/pages/Granite-City-Lumberjacks/91429048660,https://www.instagram.com/granitecity_lumberjacks/,http://www.twitter.com/GCLumberjacks,
