,27601,,,Carolina Velocity Futbol Club,,,5600 Hillsborough Steet Raleigh , NC 27606,,,https://www.ncsoccer.org/clubs/carolina-velocity-futbol-club/?Near=27601&Radius=250,
,27601,,,NCFC Youth Soccer,,,5017 Memory Road Raleigh, NC 27609,,,https://www.ncsoccer.org/clubs/ncfc-youth-soccer/?Near=27601&Radius=250,
,27601,,,Elite Youth Soccer Club Inc,,, Garner, NC 27529,,,https://www.ncsoccer.org/clubs/elite-youth-soccer-club-inc/?Near=27601&Radius=250,
,27601,,,Triangle Y Youth Soccer,,,8921 Holly Springs Road Apex, NC 27539,,,https://www.ncsoccer.org/clubs/triangle-y-youth-soccer/?Near=27601&Radius=250,
,27601,,,Liberty Soccer Academy,,,951 Aviation Pkwy Morrisville, NC 27560,,,https://www.ncsoccer.org/clubs/liberty-soccer-academy/?Near=27601&Radius=250,
,27601,,,Neuse River Futbol Alliance,,,439 Athletic Club Blvd Clayton, NC 27527,,,https://www.ncsoccer.org/clubs/neuse-river-futbol-alliance/?Near=27601&Radius=250,
,27601,,,Wake Futbol Club, Inc,,,1151 N. Main Street Holly Springs, NC 27540,,,https://www.ncsoccer.org/clubs/wake-futbol-club-inc/?Near=27601&Radius=250,
,27601,,,Greater Cleveland Athletic Association,,,8994 Cleveland Road Clayton, NC 27520,,,https://www.ncsoccer.org/clubs/greater-cleveland-athletic-association/?Near=27601&Radius=250,
,27601,,,Trinity Soccer Academy,,,6112 Rex Rd Holly Springs, NC 27540,,,https://www.ncsoccer.org/clubs/trinity-soccer-academy/?Near=27601&Radius=250,
,27601,,,Franklin Wake Soccer Club,,,2179 Hicks Rd Youngsville, NC 27596,,,https://www.ncsoccer.org/clubs/franklin-wake-soccer-club/?Near=27601&Radius=250,
,27601,,,Next Big Thing Soccer Academy,,, Franklinton, NC 27525,,,https://www.ncsoccer.org/clubs/next-big-thing-soccer-academy/?Near=27601&Radius=250,
,27601,,,Triangle United Soccer Association,,,PO Box 2321 Chapel Hill, NC 27514,,,https://www.ncsoccer.org/clubs/triangle-united-soccer-association/?Near=27601&Radius=250,
,27601,,,Chatham Soccer League,,,PO Box 875 Pittsboro, NC 27312,,,https://www.ncsoccer.org/clubs/chatham-soccer-league/?Near=27601&Radius=250,
,27601,,,Sanford Area Soccer League,,,PO Box 1212 Sanford, NC 27331,,,https://www.ncsoccer.org/clubs/sanford-area-soccer-league/?Near=27601&Radius=250,
