,,,1,,,TEAM XTREME,,,https://www.perfectgame.org/PGBA/Team/default.aspx?orgid=34908&orgteamid=144019&Year=2023,,Team Xtreme,Miami, FL,34908,144019,,https://www.perfectgame.org/PGBA/Team/default.aspx?orgid=34908,,Miami, FL,9,Champion (7) | Runner - up (2) | Third place (0),
,,,2,,,TC Titans - Villa,,,https://www.perfectgame.org/PGBA/Team/default.aspx?orgid=33711&orgteamid=143858&Year=2023,,TC Titans,Corona, CA,33711,143858,,https://www.perfectgame.org/PGBA/Team/default.aspx?orgid=33711,,Riverside, CA,19,Champion (10) | Runner - up (3) | Third place (6),
,,,3,,,MVP HUSTLE CASILLAS,,,https://www.perfectgame.org/PGBA/Team/default.aspx?orgid=18964&orgteamid=155046&Year=2023,,MVP Hustle,Norwalk, CA,18964,155046,,https://www.perfectgame.org/PGBA/Team/default.aspx?orgid=18964,,Norwalk, CA,128,Champion (43) | Runner - up (37) | Third place (48),
,,,4,,,Houston Wildcatters – 9U – Coburn,,,https://www.perfectgame.org/PGBA/Team/default.aspx?orgid=47566&orgteamid=148419&Year=2023,,Houston Wildcatters,Kingwood, TX,47566,148419,,https://www.perfectgame.org/PGBA/Team/default.aspx?orgid=47566,,Houston, TX,308,Champion (126) | Runner - up (86) | Third place (96),
,,,5,,,TBT National White,,,https://www.perfectgame.org/PGBA/Team/default.aspx?orgid=25558&orgteamid=157012&Year=2023,,TBT Ballers Baseball,Pembroke Pines, FL,25558,157012,,https://www.perfectgame.org/PGBA/Team/default.aspx?orgid=25558,,Boca Raton, FL,134,Champion (63) | Runner - up (34) | Third place (37),
,,,6,,,Houston Wildcatters – 9U – Hendrix,,,https://www.perfectgame.org/PGBA/Team/default.aspx?orgid=47566&orgteamid=149154&Year=2023,,Houston Wildcatters,Houston, TX,47566,149154,,https://www.perfectgame.org/PGBA/Team/default.aspx?orgid=47566,,Houston, TX,308,Champion (126) | Runner - up (86) | Third place (96),
,,,7,,,Diamond Elite 9u- Bitz,,,https://www.perfectgame.org/PGBA/Team/default.aspx?orgid=25191&orgteamid=148937&Year=2023,,Diamond Elite,Tampa, FL,25191,148937,,https://www.perfectgame.org/PGBA/Team/default.aspx?orgid=25191,,Tampa, FL,32,Champion (13) | Runner - up (8) | Third place (11),
,,,8,,,Houston Wildcatters – 9U – Leyja,,,https://www.perfectgame.org/PGBA/Team/default.aspx?orgid=47566&orgteamid=146779&Year=2023,,Houston Wildcatters,Houston, TX,47566,146779,,https://www.perfectgame.org/PGBA/Team/default.aspx?orgid=47566,,Houston, TX,308,Champion (126) | Runner - up (86) | Third place (96),
,,,9,,,Southside Defenders,,,https://www.perfectgame.org/PGBA/Team/default.aspx?orgid=47099&orgteamid=143586&Year=2023,,South Side Defenders,Houston, TX,47099,143586,,https://www.perfectgame.org/PGBA/Team/default.aspx?orgid=47099,,Houston, TX,7,Champion (4) | Runner - up (2) | Third place (1),
,,,10,,,ZT NATIONAL PROSPECTS ARTEAGA,,,https://www.perfectgame.org/PGBA/Team/default.aspx?orgid=56844&orgteamid=159738&Year=2023,,ZT Prospects,FONTANA, CA,56844,159738,,https://www.perfectgame.org/PGBA/Team/default.aspx?orgid=56844,,Fontana, CA,3,Champion (1) | Runner - up (2) | Third place (0),
,,,11,,,Chattanooga Premier Baseball 9U,,,https://www.perfectgame.org/PGBA/Team/default.aspx?orgid=35041&orgteamid=148772&Year=2023,,Chattanooga Premier Baseball,Chattanooga, TN,35041,148772,,https://www.perfectgame.org/PGBA/Team/default.aspx?orgid=35041,,Hixson, TN,9,Champion (4) | Runner - up (3) | Third place (2),
,,,12,,,RGV DYNASTY,,,https://www.perfectgame.org/PGBA/Team/default.aspx?orgid=36451&orgteamid=147735&Year=2023,,RGV DYNASTY,Rio Grande Valley, TX,36451,147735,,https://www.perfectgame.org/PGBA/Team/default.aspx?orgid=36451,,BROWNSVILLE, TX,11,Champion (5) | Runner - up (4) | Third place (2),
,,,13,,,ZT Prospects 9U,,,https://www.perfectgame.org/PGBA/Team/default.aspx?orgid=26365&orgteamid=157758&Year=2023,,ZT Baseball,Fullerton, CA,26365,157758,,https://www.perfectgame.org/PGBA/Team/default.aspx?orgid=26365,,Houston, TX,367,Champion (157) | Runner - up (99) | Third place (111),
,,,14,,,East Cobb Aviators,,,https://www.perfectgame.org/PGBA/Team/default.aspx?orgid=35933&orgteamid=147018&Year=2023,,Aviator Baseball,Marietta, GA,35933,147018,,https://www.perfectgame.org/PGBA/Team/default.aspx?orgid=35933,,Atlanta, GA,17,Champion (5) | Runner - up (7) | Third place (5),
,,,15,,,EEP Bandits 9u(Blue),,,https://www.perfectgame.org/PGBA/Team/default.aspx?orgid=14531&orgteamid=151970&Year=2023,,EEP Bandits,Brooklyn, NY,14531,151970,,https://www.perfectgame.org/PGBA/Team/default.aspx?orgid=14531,,Brooklyn, NY,28,Champion (10) | Runner - up (13) | Third place (5),
,,,16,,,I AM UNITED 9U,,,https://www.perfectgame.org/PGBA/Team/default.aspx?orgid=30552&orgteamid=147101&Year=2023,,I AM Baseball,Miami, FL,30552,147101,,https://www.perfectgame.org/PGBA/Team/default.aspx?orgid=30552,,Miami, FL,12,Champion (4) | Runner - up (2) | Third place (6),
,,,17,,,Corylidle national 9u peinado ,,,https://www.perfectgame.org/PGBA/Team/default.aspx?orgid=25949&orgteamid=161802&Year=2023,,Cory Lidle Baseball,Covina , CA,25949,161802,,https://www.perfectgame.org/PGBA/Team/default.aspx?orgid=25949,,Covina, CA,15,Champion (4) | Runner - up (6) | Third place (5),
,,,18,,,South Florida Chiefs,,,https://www.perfectgame.org/PGBA/Team/default.aspx?orgid=21133&orgteamid=145034&Year=2023,,Okeeheelee Baseball Association,West Palm Beach, FL,21133,145034,,https://www.perfectgame.org/PGBA/Team/default.aspx?orgid=21133,,West Palm Beach, FL,7,Champion (4) | Runner - up (2) | Third place (1),
,,,19,,,Vengeance 9u Gold,,,https://www.perfectgame.org/PGBA/Team/default.aspx?orgid=46187&orgteamid=146792&Year=2023,,Vengeance Baseball,Houston, TX,46187,146792,,https://www.perfectgame.org/PGBA/Team/default.aspx?orgid=46187,,Houston, TX,16,Champion (7) | Runner - up (8) | Third place (1),
,,,20,,,PLO Bulldogs Red 9U,,,https://www.perfectgame.org/PGBA/Team/default.aspx?orgid=19810&orgteamid=144454&Year=2023,,Pembroke Lakes Optimist,Pembroke Pines, FL,19810,144454,,https://www.perfectgame.org/PGBA/Team/default.aspx?orgid=19810,,Pembroke Pines, FL,36,Champion (12) | Runner - up (8) | Third place (16),
