,Hockey,,,BODYARMOR STATE GAMES WINTER ICE HOCKEY TOURNAMENT,,,https://hockey.exposureevents.com/198023/bodyarmor-state-games-winter-ice-hockey-tournament,,,Morrisville,,,North Carolina,,, Tournament  Boys & Girls: 18U, 16U, 14U, 12U, 10U, 8U  $800-1325,
,Hockey,,,SHAMROCK SELECT TOURNAMENT,,,https://hockey.exposureevents.com/188634/shamrock-select-tournament,,,Toronto,,,Ontario,,, Tournament  Boys & Girls: 18U-7U  4 game guarantee  $1500  Competitive,
,Hockey,,,BODYARMOR STATE GAMES YOUTH ICE HOCKEY TOURNAMENT,,,https://hockey.exposureevents.com/198028/bodyarmor-state-games-youth-ice-hockey-tournament,,,Indian Trail,,,North Carolina,,, Tournament  Boys: 18U, 16U, 14U, 12U, 10U, 8U  4 game guarantee  $900-1325,
,Hockey,,,BODYARMOR STATE GAMES ADULT MEN'S ICE HOCKEY TOURNAMENT,,,https://hockey.exposureevents.com/198029/bodyarmor-state-games-adult-mens-ice-hockey-tournament,,,Indian Trail,,,North Carolina,,, Tournament  Adult: Men  4 game guarantee  $1175-1275,
,Lacrosse,,,ICE BREAKER,,,https://lacrosse.exposureevents.com/201585/ice-breaker,,,Wayne,,,New Jersey,,, Tournament  Boys: 8th-5th,
,Lacrosse,,,2023 CRANBROOK LAX JAM TOURNAMENT,,,https://lacrosse.exposureevents.com/204888/2023-cranbrook-lax-jam-tournament,,,Bloomfield Hills,,,Michigan,,, Tournament  Boys & Girls,
,Lacrosse,,,2023 LAX SPLASH CLUB,,,https://lacrosse.exposureevents.com/203170/2023-lax-splash-club,,,Elkridge,,,Maryland,,, Tournament  Boys: 8th-2nd,
,Lacrosse,,,2023 LAX SPLASH REC,,,https://lacrosse.exposureevents.com/201772/2023-lax-splash-rec,,,Lutherville-Timonium,,,Maryland,,, Tournament  Boys & Girls: 8th-2nd  Boys,
,Lacrosse,,,2023 SALT LAX CITY,,,https://lacrosse.exposureevents.com/205643/2023-salt-lax-city,,,Salt Lake City,,,Utah,,, Tournament  Boys & Girls  Adult: Men & Women,
,Lacrosse,,,2023 GIRLS BEACH LAX,,,https://lacrosse.exposureevents.com/205249/2023-girls-beach-lax,,,200 125th St,,,Maryland,,, Tournament  Girls: 8th-3rd,
,Lacrosse,,,2023 BOYS BEACH LAX,,,https://lacrosse.exposureevents.com/205450/2023-boys-beach-lax,,,Ocean City,,,Maryland,,, Tournament  Boys: 8th-2nd,
