,29401,,,SOUTH CAROLINA SURF SOCCER CLUB,,,http://www.southcarolinasurfsoccer.com/,,,Coastal District,,,85 Patriots Point Road Mount Pleasant SC 29464,,,8884864625,,,admin@southcarolinasurfsoccer.com,
,29401,,,DANIEL ISLAND SOCCER ACADEMY,,,https://disacademy.org/,,,Coastal District,,,1683 Oak Leaf Street Charleston SC 29492,,,8436089071,,,info@disacademy.org,
,29401,,,CHARLESTON UNITED SOCCER CLUB,,,http://www.charlestonunitedsoccer.com/,,,Coastal District,,,1095 Playground Rd Charleston SC 29414,,,8437634360,,,charlestonunitedsoccer@gmail.com,
,29401,,,CAINHOY ATHLETIC SOCCER CLUB - WEST ASHLEY,,,https://cainhoyathletic.com/,,,Coastal District,,,1393 Miles Drive Charleston SC 29407,,,8438673173,,,registrar@cainhoyathletic.com,
,29401,,,CAINHOY ATHLETIC SOCCER CLUB - EAST COOPER,,,https://cainhoyathletic.com/,,,Coastal District,,,1455 Wakendaw Rd Mount Pleasant SC 29464,,,8438673173,,,registrar@cainhoyathletic.com,
,29401,,,MOUNT PLEASANT CHALLENGER,,,https://www.tompsc.com/212/Soccer,,,Coastal District,,,391 Egypt Road Mt Pleasant SC 29464,,,2946484388,,,rjohnson2@tompsc.com,
,29601,,,MITCHELL ROAD SOCCER CLUB,,,http://clubs.bluesombrero.com/mitchellroad,,,Piedmont District,,,207 Mitchell Road Greenville SC 29615,,,8649078449,,,mitchellroadsc@gmail.com,
,29601,,,CAROLINA ELITE SOCCER ACADEMY - PACHUCA,,,http://www.carolinaelitesc.com/,,,Piedmont District,,,4524 Old Spartanburg Rd. Taylors SC 29687,,,8643291113,,,rbrbonanno@gmail.com,
,29601,,,UPSTATE UNITED SOCCER CLUB,,,http://www.upstateunitedsc.org/,,,Piedmont District,,,420 Blacks Rd Greenville SC 29615,,,8646306607,,,uuscinfo@gmail.com,
,29601,,,YOUNG MUSLIMS SOCCER CLUB,,,https://sites.google.com/view/ymsc/home?authuser=0,,,Piedmont District,,,420 Blacks Dr Greenville SC 29615,,,8438012008,,,ymsc.upstate@gmail.com,
,29501,,,FLORENCE SOCCER ASSOCIATION,,,http://www.flosoccer.org/,,,Coastal District,,,3701 W Palmetto St Florence SC 29501,,, ,,,admin@flosoccer.org,
