,DISTRICT 1 / TOLEDO,,,ADA SOCCER ASSOCIATION,,,Grassroots (Rec) League & Competitive Club ,,,https://sites.google.com/view/adasoccerassociation/home,
,DISTRICT 1 / TOLEDO,,,BAY AREA SOCCER LEAGUE,,,Grassroots (Rec) League & Competitive Club ,,,https://www.bayareasoccerleague.com/,
,DISTRICT 1 / TOLEDO,,,BLACK SWAMP SOCCER LEAGUE,,,Grassroots (Rec) League ,,,https://www.blackswampsoccer.org/,
,DISTRICT 1 / TOLEDO,,,BLUFFTON SOCCER CLUB,,,Grassroots (Rec) League & Competitive Club ,,,http://blufftonsoccer.com/,
,DISTRICT 1 / TOLEDO,,,BOWLING GREEN SOCCER CLUB,,,Competitive Club ,,,https://www.bgsoccerclub.org/,
,DISTRICT 1 / TOLEDO,,,ESSL ARSENAL,,,Competitive Club ,,,https://esslarsenal.org/,
,DISTRICT 1 / TOLEDO,,,G,,,Competitive Club ,,,https://greatertoledofc.org/,
,DISTRICT 1 / TOLEDO,,,HOGG CREEK SOCCER LEAGUE,,,Grassroots (Rec) League ,,,https://hoggcreeksoccer.wordpress.com/,
,DISTRICT 1 / TOLEDO,,,LAKE SOCCER CLUB,,,Grassroots (Rec) League ,,,https://www.lakesoccer.club/,
,DISTRICT 1 / TOLEDO,,,LIBERTY BENTON SOCCER ASSOCIATION,,,Grassroots (Rec) League,,,,
,DISTRICT 1 / TOLEDO,,,NORTHWEST OHIO YOUTH SOCCER LEAGUE,,,Competitive League ,,,http://nwoysl.org/,
,DISTRICT 1 / TOLEDO,,,PACESETTER SOUTH,,,Competitive Club ,,,https://www.pacesettersouth.com/,
,DISTRICT 1 / TOLEDO,,,P,,,Competitive Club ,,,http://perrysburgsoccerclub.com/,
,DISTRICT 1 / TOLEDO,,,RIVERDALE YOUTH SOCCER,,,Grassroots (Rec) League & Competitive Club ,,,https://www.riverdaleyouthsoccer.com/,
,DISTRICT 1 / TOLEDO,,,SPRINGFIELD FC,,,Grassroots (Rec) League ,,,https://springfieldfc.club/,
,DISTRICT 1 / TOLEDO,,,TOLEDO FOOTBALL ACADEMY TOPSOCCER,,,TOPSoccer Program ,,,https://www.toledofootballacademy.org/,
,DISTRICT 1 / TOLEDO,,,UPPER SANDUSKY YOUTH SOCCER,,,Grassroots (Rec) League,,,,
,DISTRICT 1 / TOLEDO,,,VALENTIS ATHLETICA,,,Competitive Club ,,,https://www.valentisathletica.com/,
,DISTRICT 1 / TOLEDO,,,VAN BUREN YOUTH SOCCER ASSOCIATION,,,Grassroots (Rec) League ,,,https://www.facebook.com/VBYSAOhio,
,DISTRICT 1 / TOLEDO,,,VERMILION SOCCER CLUB,,,Grassroots (Rec) League,,,,
,District 2 / Cleveland,,,AMERICAN AMATEUR SOCCER LEAGUE,,,Grassroots (Rec) League & Competitive Club ,,,https://aasloh.net/,
,District 2 / Cleveland,,,AMHERST YOUTH SOCCER ASSOCIATION,,,Grassroots (Rec) League & Competitive Club ,,,https://leagues.bluesombrero.com/Default.aspx?tabid=1060168,
,District 2 / Cleveland,,,APPLESEED YOUTH SOCCER ASSOCIATION,,,Grassroots (Rec) League ,,,http://aysasoccer.org/,
,District 2 / Cleveland,,,AVON SOCCER LEAGUE ASSOCIATION,,,Grassroots (Rec) League ,,,http://www.avonsports.org/soccer/default.aspx,
,District 2 / Cleveland,,,BAY SOCCER CLUB,,,Grassroots (Rec) League & Competitive Club,,,,
,District 2 / Cleveland,,,BURNING RIVER SOCCER CLUB,,,Grassroots (Rec) League ,,,https://www.burningriversc.org/,
,District 2 / Cleveland,,,CRESTVIEW YOUTH SOCCER,,,Grassroots (Rec) League ,,,https://www.facebook.com/groups/372235996657249,
,District 2 / Cleveland,,,EASTLAKE SOCCER ASSOCIATION,,,Grassroots (Rec) League ,,,https://www.leaguelineup.com/welcome.asp?url=eastlakesoccer,
,District 2 / Cleveland,,,ELYRIA SOCCER ORGANIZATION,,,Grassroots (Rec) League & Competitive Club ,,,https://elyriasoccer.demosphere-secure.com/,
,District 2 / Cleveland,,,KIRTLAND YOUTH SOCCER LEAGUE,,,Grassroots (Rec) League ,,,https://www.kirtlandyouthsports.com/youthsoccer,
,District 2 / Cleveland,,,LAGRANGE YOUTH SOCCER ASSOCIATION,,,Grassroots (Rec) League ,,,https://www.lagrangeyouthsoccer.com/,
