,Arab Unknighted,,,https://www.arabuknighted.org/,
,Arsenal Christian Soccer Academy,,,https://arsenalchristiansocceracademy.com/,
,AYSO Alliance,,,https://ayso.org/ayso-alliance/,
,AYSO United,,,https://ayso.org/ayso-united/,
,Blount County Youth Soccer,,,https://blountunited.com/,
,Club Independent,,,http://clubindependent.org/,
,Cullman United,,,http://cullmanunited.org/,
,Decatur Youth Soccer,,,https://www.decatursoccer.com/,
,Fort Payne/ DC Inferno,,,https://dcinfernosoccer.wordpress.com/,
,Madison Blaze Soccer Club,,,https://madisonblazesoccer.com/home,
,North Alabama SC,,,https://www.northalabamasc.org/,
,River City United,,,https://www.facebook.com/RCUSCDecaturAL/,
,Shoals Soccer Club,,,https://www.shoalssoccerclub.org/,
,United Soccer Club,,,https://www.unitedsoccerclub.org/,
,Alabaster Competitive SC,,,https://parkbench.com/directory/alabaster-competitive-soccer-club-acsc,
,Birmingham City Football Club Academy,,,https://playerscout.co.uk/birmingham-city-academy/,
,Birmingham United Soccer Association (BUSA),,,https://www.birminghamunited.com/,
,Blount County Youth Soccer,,,https://www.parksrec.com/recreation-program/sports/youth-soccer,
,Briarwood Youth Soccer,,,https://briarwood.org/outreach/quest-recreation-outreach/soccer-club/,
,Calera Parks and Recreation,,,https://briarwood.org/outreach/quest-recreation-outreach/soccer-club/,
,EYSA / Alabama Rush,,,https://www.alabamarushsoccer.com/eysa-spring-2023-rec-season-info,
,Gardendale SC,,,https://www.socceronline.org/,
,Helena Huskies Soccer Club,,,https://cityofhelena.org/parks-recreation/youth-soccer/,
,Homewood Soccer Club,,,https://www.homewoodsoccer.com/,
,Hoover Soccer Club,,,https://www.hooversoccerclub.com/,
,Hoover-Vestavia Soccer  ,,,https://hoovervestaviasoccer.com/,
,Hueytown Youth Soccer Association ,,,http://www.hueytownyouthsoccer.com/home.php,
,Montevallo Youth Club ,,,http://www.montevalloparksandrec.com/SoccerInfo.aspx,
,Moody Soccer Club,,,https://moodysoccer.gotsportsites.com/,
,North Star Soccer Club,,,https://www.northstarsoccerministries.org/,
,Pelham Parks and Recreation Youth Soccer,,,https://pelhamalabama.gov/806/Boys-and-Girls-Soccer,
,Pell City FC,,,https://www.pellcityfc.com/,
,Pell City United SC/Pell City Parks and Recreation,,,https://pell-city.com/athletics/,
,Springville Youth Soccer Association,,,http://springvilleparksandrec.com/Default.aspx,
,Storm FC,,,https://www.facebook.com/STORMFutbolClub/,
,Total Futbol Club,,,https://www.tfcalabama.com/,
,Trussville United Soccer Club,,,https://trussvilleunitedsoccer.com/,
,Tuscaloosa United Soccer Club,,,http://www.tuscaloosaunited.com/,
,Vestavia Hills Soccer Club,,,https://vestaviasoccer.com/,
,Alabama FC South,,,https://alabamafcsouth.org/,
,Auburn Thunder,,,https://www.auburnsoccerclub.com/,
,FC Montgomery,,,https://fcmontgomery.com/,
,Phoenix FC AL,,,https://www.phoenixfcal.com/home,
,Prattville United SC,,,https://prattvilleunitedsoccerclub.teamapp.com/?_webpage=v1,
,Opelika Soccer Association,,,https://opelikacrushcom.wordpress.com/,
,Smiths Station United SC,,,https://www.ssusasoccer.org/,
,Troy United FC,,,https://www.facebook.com/TroyUnitedFC/,
,Wetumpka United SC,,,https://www.wetumpkasoccer.com/,
,Alamo FC,,,https://www.alamofc.com/,
,Baldwin Rush,,,https://perdidobayfc.com/baldwin-rush-spring-2023-academy-training/,
,Butler United FC,,,https://www.butlerunitedsoccer.com/,
,Central Baldwin FC,,,https://www.centralbaldwinsoccer.com/?fbclid=IwAR138RBfuCr0A5spwgvOfGzYjemMFPEtcmUqnBK6lF1yf26Ay8sNxEUb014,
,Citronelle Youth Soccer Academy,,,,
,Daphne Rangers Academy,,,https://www.facebook.com/profile.php?id=100063612371068&locale=ms_MY,
,Demopolis River City,,,,
,Fairhope Soccer Club,,,https://www.fairhopesoccerclub.com/,
,Gulf Coast Rangers,,,https://www.union10fcbaldwincounty.com/,
,Mobile United SC,,,,
,Saraland Soccer Academy,,,https://www.saralandsocceracademy.com/,
,South Alabama Soccer Association,,,https://www.sasasoccer.com/html/home.html,
,Union 10 FC,,,https://union10football.com/,
