,0,,,Allen Youth Soccer,,,http://www.allensports.org/,
,1,,,Amarillo Soccer,,,http://www.amarillosoccer.org/,
,2,,,Arlington Soccer,,,http://www.arlingtonsoccer.org/,
,3,,,Bedford Euless Soccer,,,http://www.besasoccer.com/,
,4,,,Big Country Soccer,,,http://www.bigcountrysoccer.org/,
,5,,,Big Spring Youth Soccer,,,https://bsysa.org/,
,6,,,Birdville Area Youth Futbol Alliance,,,http://bayfasoccer.com/,
,7,,,Breckenridge Youth Soccer,,,http://www.leaguelineup.com/information.asp?url=breckenridgesoccer,
,8,,,Burleson Independent Soccer,,,https://www.bisasoccer.com/,
,9,,,Burkburnett Soccer,,,http://www.burkburnettsoccerassociation.com/,
,10,,,Canton Soccer,,,https://cantonsoccerassociation.com/,
,11,,,Carrollton-Farmers Branch Soccer,,,http://cfbsa.org/,
,12,,,Carthage Soccer,,,https://www.facebook.com/carthagesoccerassociation/,
,13,,,Cedar Hill Soccer,,,http://www.cedarhillsoccer.org/,
,14,,,Cen-Tex Soccer,,,http://www.centexsoccer.com/,
,15,,,Chamber Classic Soccer Alliance,,,http://www.ccsai.org/,
,16,,,Cleburne Soccer,,,http://cleburnesoccer.com/,
,17,,,Colleyville Soccer,,,http://www.colleyvillesoccer.net/,
,18,,,Cooke County Soccer,,,http://www.cookecountysoccer.org/,
,19,,,Coppell Youth Soccer,,,http://www.coppellyouthsoccer.com/,
,20,,,Corsicana Y-O Soccer,,,https://www.facebook.com/corsicanaymcayouthsoccer/,
,21,,,Crandall Combine Soccer,,,http://www.leaguelineup.com/welcome.asp?url=ccsasoccer,
,22,,,Crowley Independent Soccer,,,http://www.crowleysoccer.com/,
,23,,,Denton Soccer,,,http://www.dentonsoccerassociation.com/,
,24,,,DeSoto Soccer,,,https://www.desotosoccer.org/,
,25,,,Duncanville Soccer,,,http://www.duncanville-soccer.com/,
,26,,,Eagle Mountain Soccer,,,http://www.emsasoccer.org/,
,27,,,Ennis Soccer,,,https://www.ennissoccerassociation.org/,
,28,,,Fairfield FC,,,http://www.leaguelineup.com/welcome.asp?url=fairfieldsoccerfc,
,29,,,Forney Youth Soccer,,,https://www.forneysoccer.org/,
,30,,,Fort Worth Youth Soccer,,,http://www.fwyouthsoccer.org/,
,31,,,Frisco Soccer,,,http://www.friscosoccer.org/,
,32,,,Garland Soccer,,,http://www.garlandsoccer.com/,
,33,,,Glen Rose Soccer,,,https://glenrosesoccer.net/,
,34,,,Graham Soccer Association,,,http://www.grahamsoccer.net/,
,35,,,Granbury Soccer,,,https://www.granburysoccer.com/,
,36,,,Grapevine/Southlake Soccer,,,http://www.gssasoccer.org/,
,37,,,Greater Lewisville Area,,,http://www.glasasoccer.org/,
,38,,,Greater Longview Soccer,,,http://www.longviewsoccer.com/,
,39,,,Greater Northwest Soccer,,,http://gnwsa.com/,
,40,,,Greater Wichita Falls Soccer,,,http://www.gwfsa.org/,
,41,,,Heart of Texas Soccer,,,http://www.hotsoccer.net/,
,42,,,Henderson County Soccer,,,http://hcsa.gotsport.com/clubsite/?p=14702,
,43,,,Henderson Soccer,,,https://www.hendersontxsoccer.org/,
,44,,,Hurst United,,,http://www.hurstunited.com/,
,45,,,Hutchinson County Youth Soccer,,,https://www.facebook.com/groups/1430320567253187/,
,46,,,Irving Soccer,,,http://www.irvingsoccer.org/,
,47,,,Jacksonville Soccer,,,http://jacksonvillesoccer.org/,
,48,,,Kaufman Soccer,,,https://www.facebook.com/KAUFMANSOCCER/,
,49,,,Keller Soccer,,,http://kellersoccer.org/,
,50,,,Kilgore Soccer,,,https://www.facebook.com/kilgoresoccer,
,51,,,Lake Cities Soccer,,,http://www.lcsasoccer.org/,
,52,,,Lake Highlands Soccer,,,http://www.lhsasoccer.org/,
