,,Aberdeen Wings,http://nahl.com/teams/team-detail.cfm?id=41,,Address:	Aberdeen Wings 12101 386th Ave. Westport  SD 57481,Phone:	605-380-5852,http://www.aberdeenwings.com/,https://www.facebook.com/aberdeen.wings?sk=wall,https://www.instagram.com/theofficialaberdeenwings/,http://www.twitter.com/AberdeenWings,http://www.youtube.com/AberdeenWings,
,,Amarillo Wranglers,http://nahl.com/teams/team-detail.cfm?id=628,,Address:	Amarillo Wranglers 301 S. Grant St. Amarillo  TX,,https://www.amarillowranglers.com/,https://www.facebook.com/NAHLwranglers,https://www.instagram.com/wranglershockey/,http://www.twitter.com/NAHLwranglers,
,,Anchorage Wolverines,http://nahl.com/teams/team-detail.cfm?id=619,,Address:	Anchorage Wolverines 8123 Hartzell Rd Anchorage  AK 99507,,https://www.anchoragewolverines.com/,https://www.facebook.com/anchoragewolverines,https://www.instagram.com/anchoragewolverines/,http://www.twitter.com/anchoragewolve1,
,,Austin Bruins,http://nahl.com/teams/team-detail.cfm?id=43,,Address:	Austin Bruins 501 - 2nd Ave. NE Austin  MN 55912,Phone:	507-434-4978,http://www.austinbruins.com/,http://www.facebook.com/pages/Austin-Bruins-Hockey/350141299291,https://www.instagram.com/austinbruinsnahl/,https://www.snapchat.com/add/austin_bruins,http://www.twitter.com/theaustinbruins,http://www.youtube.com/channel/UCYJejuMdzAxjW2ycCHtwt3g,
,,Bismarck Bobcats,http://nahl.com/teams/team-detail.cfm?id=6,,Address:	Bismarck Bobcats 1200 N. Washington St. Bismarck  ND 58501,Phone:	701-222-3300,http://www.bismarckbobcats.com/,http://www.facebook.com/bismarckbobcats,https://www.instagram.com/bismarckbobcats/,http://www.twitter.com/BismarckBobcats,http://www.youtube.com/BismarckBobcats,
,,Chippewa Steel,http://nahl.com/teams/team-detail.cfm?id=397,,Address:	Chippewa Steel 839 1st Ave Chippewa Falls  WI 54729,Phone:	715-861-2131,http://www.chippewasteelhockey.com/,https://www.facebook.com/ChippewaSteel/,https://www.instagram.com/chippewasteel/,http://www.twitter.com/ChippewaSteel,
,,Colorado Grit,http://nahl.com/teams/team-detail.cfm?id=771,,Address:	Colorado Grit 900 8th Ave. Greeley  CO 80631,E-mail:	info@coloradogrithockey.com,https://www.coloradogrithockey.com/,https://www.facebook.com/profile.php?id=100089172705013,https://www.instagram.com/colorado.grit/,http://www.twitter.com/COgrit_NAHL,
,,Corpus Christi IceRays,http://nahl.com/teams/team-detail.cfm?id=48,,Address:	Corpus Christi IceRays 1900 N. Shoreline Suite 300 Corpus Christi  TX 78401,Phone:	361-814-7825,http://www.goicerays.com/,http://www.facebook.com/pages/Corpus-Christi-IceRays/113018544489,https://www.instagram.com/iceraysnahl/,https://www.snapchat.com/add/goicerays,http://www.twitter.com/iceraysnahl,http://www.youtube.com/goicerays,
,,Danbury Jr. Hat Tricks,http://nahl.com/teams/team-detail.cfm?id=520,,Address:	Danbury Jr. Hat Tricks One Independence Way Danbury  CT 06810,Phone:	203-794-1704,http://www.hattricksnahl.com/,https://www.facebook.com/JrHatTricksNAHL/,https://www.instagram.com/jrhattricksnahl/,http://www.twitter.com/JrHatTricksNAHL,
,,El Paso Rhinos,http://nahl.com/teams/team-detail.cfm?id=522,,Address:	El Paso Rhinos 4100 E Paisano Bldg. B El Paso  TX 79905,Phone:	915-479-7825,https://www.elpasorhinos.com/,https://www.facebook.com/ElPasoRhinosHockey/,https://www.instagram.com/el_paso_rhinos/,http://www.twitter.com/El_Paso_Rhinos,http://www.youtube.com/EPRhinosHockey,
