,0,,,https://selectbaseballteams.com/travel-baseball-rankings/al/,
,3,,,https://selectbaseballteams.com/travel-baseball-rankings/az/,
,6,,,https://selectbaseballteams.com/travel-baseball-rankings/co/,
,12,,,https://selectbaseballteams.com/travel-baseball-rankings/ga/,
,13,,,https://selectbaseballteams.com/travel-baseball-rankings/gu/,
,15,,,https://selectbaseballteams.com/travel-baseball-rankings/id/,
,35,,,https://selectbaseballteams.com/travel-baseball-rankings/nm/,
,36,,,https://selectbaseballteams.com/travel-baseball-rankings/ny/,
,47,,,https://selectbaseballteams.com/travel-baseball-rankings/sd/,
,51,,,https://selectbaseballteams.com/travel-baseball-rankings/ut/,
,55,,,https://selectbaseballteams.com/travel-baseball-rankings/wa/,
,56,,,https://selectbaseballteams.com/travel-baseball-rankings/wv/,
